Protocol,Packet_Count,Total_Bytes,Avg_PIAT,Label
17,2,158,5005.158185958862,0
17,2,146,5005.6610107421875,0
89,2,152,10000.784158706665,0
17,2,134,5005.157947540283,0
17,2,146,5005.157947540283,0
17,2,158,5005.157947540283,0
17,2,146,5005.159139633179,0
89,2,152,10000.783920288086,0
17,2,134,5005.157947540283,0
17,2,146,5005.159139633179,0
17,2,158,5005.659818649292,0
17,2,156,0.5021095275878906,0
6,2,92,1001.4331340789795,0
1,2,92,0.0,0
1,2,68,46.65994644165039,0
6,49,2254,15.553310513496399,0
6,123,4920,15.553320040468309,0
17,3,213,2501.8255710601807,1
89,2,152,10014.82892036438,1
17,2,158,5004.15301322937,1
17,2,146,5006.158828735352,1
17,2,134,5001.645088195801,1
17,2,146,5004.15301322937,1
89,2,152,10000.781059265137,1
17,2,158,5021.713018417358,1
17,2,146,5022.214889526367,1
17,2,134,5021.713018417358,1
17,2,146,5022.214889526367,1
89,2,152,10000.779867172241,1
17,2,158,5022.21417427063,1
17,2,146,5022.214889526367,1
17,2,134,5021.713018417358,1
17,2,146,5022.213935852051,1
89,2,152,10000.78010559082,1
17,2,158,5037.266969680786,1
17,2,146,5007.163047790527,1
17,2,134,5023.218154907227,1
17,2,146,5023.218870162964,1
89,2,152,10000.779151916504,1
17,2,158,5014.1870975494385,1
17,2,146,5013.183832168579,1
17,2,134,5013.1871700286865,1
17,2,146,5014.686822891235,1
89,2,152,10000.78010559082,1
17,2,158,5012.1800899505615,1
17,2,146,5012.68196105957,1
17,2,134,5012.68196105957,1
17,2,146,5014.1870975494385,1
89,2,152,10000.781059265137,1
17,2,158,5014.1870975494385,1
17,2,146,5014.187812805176,1
17,2,134,5012.68196105957,1
17,2,146,5014.1870975494385,1
89,2,152,9985.227108001709,1
17,2,158,5010.1728439331055,1
17,2,146,5010.174036026001,1
17,2,134,5007.664918899536,1
17,2,146,5009.671926498413,1
89,2,152,9999.775886535645,1
17,2,158,5010.174036026001,1
17,2,146,5010.174036026001,1
17,2,134,5009.670972824097,1
17,2,146,5006.160020828247,1
89,2,152,10000.78010559082,1
17,2,158,5010.173082351685,1
17,2,146,5010.173797607422,1
17,2,134,5009.670972824097,1
17,2,146,5009.670972824097,1
89,2,152,10000.78010559082,1
17,2,158,5007.666110992432,1
17,2,146,5006.16192817688,1
17,2,134,5007.160902023315,1
17,2,146,5007.163047790527,1
89,2,152,9985.226154327393,1
17,2,158,5007.665157318115,1
17,2,146,5008.166790008545,1
17,2,134,5007.163047790527,1
17,2,146,5007.162094116211,1
89,2,152,10015.83194732666,1
17,2,158,5007.164001464844,1
17,2,146,5008.167028427124,1
17,2,134,5007.164001464844,1
17,2,146,5007.161855697632,1
89,2,152,10000.779867172241,1
17,2,158,5006.662130355835,1
17,2,146,5006.660938262939,1
17,2,134,5006.159782409668,1
17,2,146,5006.159067153931,1
89,2,152,9984.724998474121,1
17,2,158,5006.662130355835,1
17,2,146,5003.650903701782,1
17,2,134,5005.156993865967,1
17,2,146,5006.159067153931,1
89,2,152,10000.277996063232,1
17,2,158,5005.156993865967,1
17,2,146,5006.159067153931,1
17,2,134,5006.160020828247,1
17,2,146,5006.159067153931,1
89,2,152,9999.776124954224,1
17,2,158,5006.160020828247,1
17,2,146,5005.657911300659,1
17,2,134,5005.657911300659,1
17,2,146,5006.159067153931,1
89,2,152,10000.277996063232,1
17,2,158,5006.1609745025635,1
17,2,146,5003.149032592773,1
17,2,134,5005.658864974976,1
17,2,146,5006.160020828247,1
89,2,152,9999.274015426636,1
17,2,158,5006.159067153931,1
17,2,146,5006.160020828247,1
17,2,134,5005.659103393555,1
17,2,146,5005.656957626343,1
89,2,152,9998.270034790039,1
17,2,158,5003.650903701782,1
17,2,146,5006.160020828247,1
17,2,134,5002.146005630493,1
17,2,146,5006.160020828247,1
89,2,152,9999.775886535645,1
17,2,158,5006.158828735352,1
17,2,146,5006.662130355835,1
17,2,134,5004.6539306640625,1
17,2,146,5006.160020828247,1
89,2,152,10016.332864761353,1
17,2,158,5006.160020828247,1
17,2,146,5006.660938262939,1
17,2,134,5005.657911300659,1
17,2,146,5005.659103393555,1
89,2,152,9983.721017837524,1
17,2,158,5005.657911300659,1
17,2,146,5005.657196044922,1
17,2,134,5005.15604019165,1
17,2,146,5005.657911300659,1
89,2,152,10000.780820846558,1
17,2,158,5005.659103393555,1
17,2,146,5005.657911300659,1
17,2,134,5005.15604019165,1
17,2,146,5005.656957626343,1
89,2,152,10000.778913497925,1
17,2,158,5002.146005630493,1
17,2,146,5005.658149719238,1
17,2,134,5005.657911300659,1
17,2,146,5004.656076431274,1
89,2,152,10000.781059265137,1
17,2,158,5005.657911300659,1
17,2,146,5005.657911300659,1
17,2,134,5000.139951705933,1
17,2,146,5005.657911300659,1
89,2,152,10000.779867172241,1
17,2,158,5005.656957626343,1
17,2,146,5005.659103393555,1
17,2,134,5002.146005630493,1
17,2,137,4652.94885635376,1
89,2,152,10016.332864761353,1
17,3,228,2326.2239694595337,1
17,3,217,2326.2234926223755,1
17,4,252,1668.38534673055,1
17,4,264,1668.5527165730794,1
89,2,152,10016.332864761353,1
17,4,300,1668.5526371002197,1
17,4,296,1786.4569822947185,1
17,3,204,2502.5784969329834,1
17,3,216,2502.8289556503296,1
89,2,152,9985.22686958313,1
17,4,276,1668.5526371002197,1
17,4,264,1668.5527165730794,1
17,4,276,1668.38534673055,1
17,4,288,1668.5526371002197,1
17,2,149,2645.0672149658203,1
